transaction_id,transaction_date,customer_id,product_id,store_id,employee_id,quantity,discount_percent,payment_method,order_status
TXN002652,2025-12-11,CUST0017,PROD0050,ST003,EMP003,7,10,Bank Transfer,Completed
TXN002219,2025-04-29,CUST0035,PROD0035,ST002,EMP002,2,29,eSewa,Completed
TXN002768,2025-04-11,CUST0057,PROD0015,ST002,EMP002,1,2,eSewa,Completed
TXN003229,2025-01-29,CUST0046,PROD0030,ST004,EMP004,3,12,Cash,Cancelled
TXN004973,2025-05-27,CUST0041,PROD0005,ST001,EMP016,4,12,Card,Returned
TXN004382,2025-02-19,CUST0003,PROD0053,ST004,EMP009,5,19,Cash,Completed
TXN001022,2025-09-02,CUST0077,PROD0043,ST005,EMP005,5,2,Card,Completed
TXN001956,2025-05-03,CUST0043,PROD0049,ST004,EMP014,8,7,Cash,Cancelled
TXN000798,2025-03-19,CUST0023,PROD0060,ST001,EMP006,3,25,Card,Completed
TXN004912,2025-03-05,CUST0096,PROD0039,ST003,EMP003,2,10,Card,Returned
TXN003069,2025-12-02,CUST0008,PROD0056,ST005,EMP020,4,22,eSewa,Completed
TXN004790,00/00/2025,CUST0024,PROD0041,ST005,EMP020,5,21,Bank Transfer,Completed
TXN002539 ,2025-07-21,CUST0036,PROD0021,ST004,EMP019,5,24,eSewa,Completed
TXN004726,2025-01-16,CUST0090,PROD0054,ST004,EMP014,3,2,Khalti,Returned
TXN002118,2025-03-26,CUST0028,PROD0059,ST001,EMP001,4,29,Card,Returned
TXN002566,2025-01-18,CUST0081,PROD0022,ST001,EMP011,2,23,Khalti,Cancelled
TXN001448,2025-09-04,CUST0010,PROD0045,ST005,EMP015,6,30,Khalti,Completed
TXN001095,00/00/2025,CUST0020,PROD0048,ST004,EMP014,3,30,Cash,Returned
TXN000391,2025-09-22,CUST0011,PROD0008,ST004,EMP019,3,25,eSewa,Completed
TXN003474,2025-11-20,CUST0094,PROD0019,ST002,EMP012,1,6,Khalti,Returned
TXN004662,2025-04-20,CUST0096,PROD0038,ST005,EMP010,-7,12,Cash,Completed
TXN002710,2025-07-16,CUST0055,PROD0025,ST003,EMP018,5,29,Card,Completed
TXN003835,2025-03-06,CUST0093,PROD0032,ST002,EMP017,6,24,Cash,Completed
 TXN004890  ,2025-09-28,CUST0046,PROD0021,ST005,EMP015,4,11,eSewa,Completed
TXN002946,2025-05-26,CUST0041,PROD0011,ST004,EMP019,8,23,Khalti,Completed
TXN004863,2025-08-01,CUST0060,PROD0013,ST001,EMP006,4,8,Bank Transfer,Completed
  TXN001749 ,2025-02-21,CUST0057,PROD0015,ST004,EMP014,3,25,Card,Returned
TXN002195,2025-07-18,CUST0017,PROD0039,ST003,EMP013,2,4,Bank Transfer,Completed
TXN003316,2025-11-12,CUST0048,PROD0022,ST001,EMP001,3,30,Khalti,Completed
TXN003914,2025-08-12,CUST0085,PROD0019,ST001,EMP011,3,,Card,Returned
TXN003723,2025-11-09,CUST0089,PROD0056,ST003,EMP003,5,14,Cash,Returned
TXN001836,2025-03-29,CUST0046,PROD0060,ST001,EMP016,7,12,Card,Completed
  TXN003569,2025-10-19,CUST0030,PROD0007,ST005,EMP015,3,5,Card,Cancelled
TXN002967,2025-06-16,CUST0092,PROD0029,ST004,EMP019,5,11,Cash,Completed
TXN003741,2025-09-23,CUST0011,PROD0048,ST005,EMP005,1,17,eSewa,Completed
TXN004044,2025-10-26,CUST0005,PROD0002,ST004,EMP004,3,24,Cash,Completed
TXN004309,2025-11-17,CUST0071,PROD0019,ST004,EMP014,3,20,Cash,Completed
TXN004617,2025-03-01,CUST0018,PROD0012,ST001,EMP011,1,13,Khalti,Completed
TXN002483,2025-09-17,CUST0041,PROD0007,ST001,EMP006,7,13,Khalti,Completed
TXN003734,2025-08-03,CUST0064,PROD0032,ST001,EMP006,1,16,Bank Transfer,Cancelled
TXN003004,2025-10-06,CUST0082,PROD0011,ST003,EMP013,1,30,cash,Completed
TXN001327,2025-11-09,CUST0015,PROD0021,ST005,EMP005,7,29,Khalti,Completed
TXN000300,2025-04-06,CUST0058,PROD0025,ST003,EMP018,7,27,Card,Cancelled
TXN002257,2025-03-22,CUST0048,PROD0055,ST004,EMP004,8,24,Bank Transfer,Completed
TXN000522,2025-12-26,CUST0096,PROD0043,ST005,EMP005,1,22,Cash,Completed
TXN001387,2025-05-20,CUST0037,PROD0038,ST004,EMP009,7,1,Cash  ,Completed
TXN002592,2025-01-28,CUST0036,PROD0050,ST005,EMP005,6,27,eSewa,Cancelled
TXN004366,2025-09-18,CUST0047,PROD0002,ST001,EMP006,3,0,Card,Completed
TXN003907,2025-08-14,CUST0095,PROD0025,ST004,EMP014,6,14,Cash,Completed
TXN001149,2025-02-23,CUST0053,PROD0034,ST004,EMP009,4,29,Khalti,Cancelled
TXN000985,2025-08-10,CUST0004,PROD0022,ST002,EMP012,2,12,Card,Completed
TXN003473,2025-06-14,CUST0083,PROD0015,ST002,EMP017,5,24,Bank Transfer,Completed
TXN003310,2025-08-28,CUST0090,PROD0033,ST001,EMP001,5,1,eSewa,Returned
TXN002650,2025-12-01,CUST0072,PROD0049,ST005,EMP015,7,11,Card,Completed
TXN000970,2025-02-10,CUST0020,PROD0046,ST005,EMP015,1,3,Khalti,Completed
TXN003071,2025-01-30,CUST0063,PROD0009,ST003,EMP018,7,11,Khalti,Returned
TXN000059,2025-09-30,CUST0085,PROD0032,ST001,EMP016,7,8,banK TRanSFER,Completed
TXN001519,2025-04-16,CUST0089,PROD0028,ST005,EMP010,4,13,Card,Completed
  TXN001292,2025-12-14,CUST0015,PROD0025,ST005,EMP005,6,28,Khalti,Completed
TXN001203,2025-05-13,CUST0084,PROD0044,ST002,EMP012,8,1,khalti,Completed
TXN002045,2025-04-30,CUST0017,PROD0057,ST003,EMP018,8,14,Cash,Completed
TXN004164,2025-07-15,CUST0065,PROD0050,ST005,EMP020,4,1,Bank Transfer,Completed
TXN001746,2025-03-27,CUST0048,PROD0028,ST001,EMP016,7,24,Khalti,Completed
TXN004303,2025-12-22,CUST0043,PROD0029,ST003,EMP003,2,13,eSewa,Completed
TXN001516,2025-06-09,CUST0092,PROD0020,ST001,EMP001,2,24,Card,Returned
TXN002390,2025-10-26,CUST0084,PROD0052,ST005,EMP010,2,27,eSewa,Completed
TXN002906,2025-11-08,CUST0073,PROD0030,ST002,EMP002,3,20,Khalti,Completed
TXN004445,2025-01-10,CUST0048,PROD0054,ST002,EMP002,2,27,Bank Transfer,Completed
TXN001964,2025-10-24,CUST0015,PROD0055,ST003,EMP018,3,24,eSewa,COMPLEted
TXN002862,2025-11-14,CUST0068,PROD0060,ST005,EMP015,7,0,Cash,Returned
TXN002369,2025-01-29,CUST0072,PROD0043,ST005,EMP015,6,23,eSewa,Completed
TXN002893 ,2025-01-01,CUST0027,PROD0058,ST001,EMP016,5,12,Card,Returned
TXN004553,2025-05-11,CUST0100,PROD0045,ST001,EMP011,4,15,Cash,Cancelled
TXN004768,2025-08-01,CUST0069,PROD0026,ST003,EMP018,7,10,eSewa,Completed
TXN002860,2025-07-15,CUST0077,PROD0025,ST001,EMP006,6,3,eSewa ,Completed
TXN003853,2025-08-28,CUST0040,PROD0009,ST004,EMP009,7,0,Cash,Completed
TXN003560,2025-05-21,CUST0085,PROD0056,ST002,EMP002,7,13,eSewa,Completed
TXN004417,2025-04-14,CUST0060,PROD0020,ST003,EMP008,7,2,eSewa,Completed
TXN004833,2025-06-07,CUST0049,PROD0007,ST004,EMP004,7,0,Bank Transfer,Completed
TXN000817,2025-10-30,CUST0032,PROD0038,ST001,EMP016,7,24,Khalti,Returned
TXN002677,2025-02-17,CUST0068,PROD0057,ST002,EMP017,2,9,Khalti,Completed
TXN003001,2025-09-28,CUST0014,PROD0009,ST002,EMP007,2,9,Card,Cancelled
TXN002635,2025-11-15,CUST0064,PROD0053,ST001,EMP001,5,27,Cash,COMPLETED
 TXN001937,2025-07-06,CUST0095,PROD0028,ST002,EMP002,5,6,eSewa,Completed
TXN000436,2025-09-08,CUST0028,PROD0012,ST005,EMP010,1,27,Cash,Completed
TXN003153,2025-02-15,CUST0079,PROD0021,ST004,EMP009,1,23,Card,Completed
TXN002678,2025-10-05,CUST0092,PROD0050,ST003,EMP013,5,24,eSewa,Completed
TXN004457,2025-01-12,CUST0083,PROD0059,ST005,EMP005,6,23,Bank Transfer,Returned
TXN001825,2025-12-25,CUST0069,PROD0059,ST003,EMP003,7,27,Khalti,Completed
TXN001343,2025-01-27,CUST0095,PROD0008,ST002,EMP017,3,18,Khalti,Cancelled
TXN003139,2025-09-06,CUST0091,PROD0034,ST001,EMP011,7,16,eSewa,Completed
TXN000261,2025-03-12,CUST0088,PROD0052,ST003,EMP018,5,29,Card,Completed
TXN000951,2025-07-15,CUST0015,PROD0039,ST005,EMP010,7,15,Card,Completed
TXN004674,2025-09-01,CUST0082,PROD0004,ST001,EMP016,3,18,Bank Transfer,Completed
TXN004429,2025-01-05,CUST0048,PROD0033,ST003,EMP008,6,24,Khalti,Completed
TXN001680,2025-06-11,CUST0040,PROD0027,ST001,EMP001,1,18,Khalti,Completed
TXN003573,2025-06-28,CUST0014,PROD0059,ST003,EMP018,3,1,Khalti,Cancelled
TXN002888,2025-03-02,CUST0082,PROD0057,ST002,EMP007,1,13,Khalti,Completed
TXN002071,2025-04-03,CUST0045,PROD0052,ST004,EMP009,7,13,Bank Transfer,Returned
TXN003541,2025-05-31,CUST0070,PROD0032,ST003,EMP008,8,9,Cash,Completed
TXN003703,2025-07-19,CUST0009,PROD0029,ST001,EMP001,7,12,Card,Completed
TXN001498,2025-05-12,CUST0018,PROD0048,ST001,EMP006,3,5,Khalti,returned
TXN000037,2025-08-23,CUST0015,PROD0022,ST002,EMP007,5,,eSewa,Completed
TXN003995,2025-04-17,CUST0017,PROD0022,ST001,EMP006,5,28,Card,Completed
TXN001965,2025-12-22,CUST0021,PROD0052,ST005,EMP005,3,12,Card,Cancelled
TXN001993,2025-07-23,CUST0028,PROD0049,ST004,EMP014,5,20,Card,Completed
TXN003858,2025-01-05,CUST0062,PROD0038,ST001,EMP011,7,17,Cash,Completed
TXN002855,2025-05-29,CUST0020,PROD0014,ST004,EMP009,4,15,eSewa,Cancelled
  TXN000701,2025-10-02,CUST0029,PROD0037,ST004,EMP014,4,30,Bank Transfer,Returned
TXN003641,2025-09-01,CUST0034,PROD0021,ST005,EMP010,2,10,Cash,Returned
TXN004693,2025-03-31,CUST0065,PROD0047,ST005,EMP005,7,26,eSewa,Completed
TXN002104,2025-04-14,CUST0091,PROD0024,ST002,EMP017,4,13,Card,Completed
TXN000894,2025-04-27,CUST0098,PROD0059,ST004,EMP004,4,0,Cash,Cancelled
TXN001334,2025-08-25,CUST0015,PROD0054,ST005,EMP010,2,25,Bank Transfer,Completed
TXN003534,2025-02-11,CUST0056,PROD0022,ST003,EMP013,8,6,Cash,Returned
 TXN003505 ,2025-01-16,CUST0072,PROD0054,ST005,EMP020,5,,Card,Completed
TXN002154,2025-04-15,CUST0033,PROD0060,ST002,EMP007,8,7,Card,Cancelled
  TXN004914  ,2025-03-22,CUST0072,PROD0025,ST005,EMP015,7,3,eSewa,Completed
TXN004963,2025-02-06,CUST0016,PROD0017,ST003,EMP013,4,4,Cash,Cancelled
TXN003465,2025-07-05,CUST0020,PROD0015,ST003,EMP013,1,9,Bank Transfer,Cancelled
TXN002929,2025-05-15,CUST0064,PROD0057,ST005,EMP010,2,5,Bank Transfer,Completed
TXN002224,2025-06-08,CUST0010,PROD0014,ST004,EMP014,2,2,Bank Transfer,Completed
TXN000828,2025-05-01,CUST0034,PROD0028,ST002,EMP012,6,22,Card,Completed
TXN000933,2025-03-16,CUST0073,PROD0030,ST004,EMP009,5,30,Khalti,RETURNED
TXN004648,2025-05-26,CUST0080,PROD0040,ST001,EMP001,7,23,Bank Transfer,Returned
TXN000630,2025-02-26,CUST0088,PROD0004,ST004,EMP004,4,18,eSewa,Completed
TXN004012,2025-08-20,CUST0032,PROD0009,ST001,EMP016,6,30,Card,Completed
TXN001882,2025-02-08,CUST0026,PROD0051,ST005,EMP005,5,27,Card,Completed
TXN002777,2025-08-18,CUST0009,PROD0031,ST001,EMP001,2,10,Khalti,Cancelled
TXN003444,2025-03-17,CUST0019,PROD0023,ST005,EMP015,1,26,eSewa,Completed
  TXN000744  ,2025-10-01,CUST0100,PROD0031,ST002,EMP012,6,13,Bank Transfer,Completed
TXN001510,2025-02-14,CUST0045,PROD0004,ST001,EMP016,3,10,Bank Transfer,Cancelled
  TXN000958 ,2025-08-02,CUST0025,PROD0027,ST005,EMP005,3,29,Card,Completed
TXN000516,2025-10-08,CUST0012,PROD0020,ST001,EMP016,8,3,Khalti,Cancelled
TXN001888,2025-10-21,CUST0060,PROD0059,ST005,EMP010,1,15,Khalti,Completed
TXN004481,2025-08-02,CUST0003,PROD0040,ST002,EMP007,8,6,Cash,Completed
TXN000519,2025-08-12,CUST0084,PROD0042,ST003,EMP013,4,2,Cash,Completed
TXN000057,2025-03-28,CUST0022,PROD0047,ST005,EMP015,3,29,Bank Transfer,Cancelled
TXN002482,2025-05-29,CUST0060,PROD0037,ST004,EMP014,3,6,Card,cOmPLeteD
TXN002822,2025-12-05,CUST0080,PROD0023,ST002,EMP002,1,22,eSewa,Completed
TXN003495,2025-03-04,CUST0033,PROD0051,ST002,EMP002,7,10,eSewa,Completed
TXN004689,2025-10-05,CUST0055,PROD0002,ST001,EMP001,2,1,Khalti,Completed
TXN004253,2025-05-13,CUST0065,PROD0010,ST001,EMP011,7,27,Khalti,Completed
TXN003524,2025-08-14,CUST0089,PROD0058,ST002,EMP007,4,14,Cash,Cancelled
TXN002262,2025-08-20,CUST0039,PROD0029,ST001,EMP011,8,18,Card,Completed
TXN001134,2025-10-07,CUST0013,PROD0055,ST004,EMP009,2,24,Bank Transfer,Returned
TXN001071,2025-08-18,CUST0002,PROD0050,ST002,EMP012,2,4,Cash,Returned
TXN000453,2025-05-21,CUST0030,PROD0057,ST004,EMP019,4,22,Bank Transfer,Returned
TXN002214,2025-01-24,CUST0063,PROD0058,ST005,EMP005,4,5,Card,Returned
TXN003697,2025-10-24,CUST0073,PROD0027,ST001,EMP011,1,18,Khalti,Completed
TXN004257,2025-12-27,CUST0025,PROD0049,ST001,EMP016,6,30,Card,Completed
TXN003073,2025-09-03,CUST0035,PROD0056,ST005,EMP005,4,15,eSewa,Completed
TXN001102,2025-06-07,CUST0070,PROD0014,ST004,EMP019,5,20,Khalti,Cancelled
TXN000172,2025-01-07,CUST0037,PROD0057,ST003,EMP018,2,21,Cash,Completed
 TXN001141  ,2025-08-04,CUST0082,PROD0003,ST005,EMP010,5,17,Card,Cancelled
TXN000330,2025-08-21,CUST0019,PROD0014,ST004,EMP014,3,23,Card,Cancelled
  TXN004858  ,2025-01-29,CUST0018,PROD0054,ST003,EMP003,4,1,eSewa,Returned
TXN004249,2025-04-25,CUST0053,PROD0055,ST002,EMP012,4,28,Cash,Completed
TXN002053,2025-04-08,CUST0019,PROD0030,ST003,EMP003,2,8,Card,Returned
TXN001762,2025-05-06,CUST0084,PROD0045,ST003,EMP003,7,16,Bank Transfer,Cancelled
TXN003330,2025-01-11,CUST0044,PROD0014,ST002,EMP012,2,29,eSewa,Completed
TXN004076,2025-04-29,CUST0033,PROD0019,ST002,EMP017,4,27,Card,Cancelled
TXN002968,2025-12-03,CUST0058,PROD0055,ST003,EMP013,2,14,Bank Transfer,Completed
TXN002601,2025-12-15,CUST0057,PROD0025,ST005,EMP010,3,27,eSewa,Returned
TXN002150,2025-09-21,CUST0030,PROD0022,ST003,EMP013,6,14,Khalti,Cancelled
TXN001353,2025-10-27,CUST0050,PROD0053,ST001,EMP011,8,25,Cash,Completed
TXN003772,2025-04-26,CUST0083,PROD0044,ST004,EMP019,2,11,eSewa,Cancelled
TXN004075,2025-04-18,CUST0007,PROD0049,ST005,EMP005,1,17,Bank Transfer,Completed
TXN002799,2025-11-22,CUST0037,PROD0005,ST001,EMP006,2,8,Cash,Cancelled
TXN003700,2025-06-08,CUST0067,PROD0032,ST005,EMP020,2,18,Khalti,Returned
TXN001180,2025-09-25,CUST0099,PROD0040,ST004,EMP009,1,6,Khalti,Completed
TXN001421,2025-10-16,CUST0018,PROD0015,ST004,EMP004,8,8,Card,Completed
TXN001301,2025-02-23,CUST0052,PROD0020,ST001,EMP016,2,17,Cash,Completed
TXN000827,2025-08-01,CUST0079,PROD0031,ST001,EMP001,4,18,Khalti,Cancelled
 TXN003111,2025-09-10,CUST0006,PROD0004,ST004,EMP019,5,28,Khalti,Cancelled
TXN001220,2025-09-18,CUST0062,PROD0058,ST004,EMP019,5,27,Cash,Cancelled
TXN002546,2025-01-23,CUST0075,PROD0058,ST003,EMP018,4,12,eSewa,Completed
TXN003198,2025-11-03,CUST0076,PROD0010,ST001,EMP006,8,6,Bank Transfer,Cancelled
TXN003915,2025-08-13,CUST0093,PROD0060,ST004,EMP004,1,22,Card,Completed
TXN001663,2025-06-04,CUST0018,PROD0054,ST005,EMP020,2,24,Card,Completed
TXN000574,2025-07-31,CUST0064,PROD0028,ST001,EMP011,6,29,Card,Completed
TXN003342,2025-12-18,CUST0005,PROD0042,ST002,EMP007,3,11,Card,Completed
TXN002132,2025-04-05,CUST0090,PROD0049,ST005,EMP010,4,13,Card,Returned
TXN004221,2025-04-11,CUST0092,PROD0020,ST002,EMP017,3,1,eSewa,Completed
TXN004340,2025-12-13,CUST0089,PROD0053,ST005,EMP005,6,,Card,Completed
TXN001743,2025-12-13,CUST0029,PROD0034,ST001,EMP016,6,2,eSewa,Cancelled
TXN004981,2025-07-30,CUST0023,PROD0060,ST003,EMP018,4,12,Bank Transfer,Completed
TXN004917,2025-06-05,CUST0099,PROD0013,ST001,EMP016,-1,26,Cash,Completed
TXN003195,2025-12-23,CUST0053,PROD0012,ST001,EMP016,5,12,eSewa,Completed
TXN000473,2025-08-10,CUST0044,PROD0028,ST005,EMP020,7,8,Khalti,Completed
TXN004700,2025-06-10,CUST0003,PROD0025,ST001,EMP006,4,9,Card,Cancelled
TXN001805,2025-01-24,CUST0030,PROD0032,ST004,EMP019,3,8,Card,Returned
TXN001830,2025-03-30,CUST0017,PROD0046,ST004,EMP009,5,19,eSewa,Returned
TXN000734,2025-07-03,CUST0083,PROD0058,ST001,EMP011,5,24,Cash,Completed
TXN003398,2025-03-19,CUST0015,PROD0036,ST005,EMP015,2,2,khalti,Cancelled
  TXN004210 ,2025-05-31,CUST0063,PROD0036,ST004,EMP009,2,24,Bank Transfer,Completed
TXN003930,2025-11-10,CUST0049,PROD0049,ST005,EMP015,3,16,Cash,Completed
TXN000694,2025-01-20,CUST0091,PROD0045,ST003,EMP003,7,16,eSewa,Completed
TXN003738,2025-06-29,CUST0064,PROD0001,ST004,EMP004,4,3,eSewa,Completed
TXN000155,2025-05-01,CUST0089,PROD0060,ST002,EMP007,1,3,Bank Transfer,Cancelled
TXN004430,2025-04-02,CUST0072,PROD0032,ST004,EMP014,5,5,Card,Cancelled
TXN003247,2025-01-19,CUST0049,PROD0050,ST003,EMP008,1,7,Khalti,Returned
TXN001862,2025-09-20,CUST0048,PROD0026,ST005,EMP020,5,14,Bank Transfer,returned
TXN000241,2025-04-17,CUST0078,PROD0046,ST003,EMP008,8,14,Cash,Completed
TXN003713,2025-09-22,CUST0098,PROD0037,ST005,EMP020,4,8,Bank Transfer,Returned
TXN000695,2025-04-23,CUST0032,PROD0009,ST001,EMP001,4,26,Card,Cancelled
TXN002412,2025-08-15,CUST0058,PROD0017,ST003,EMP013,7,27,eSewa,Returned
TXN004020,2025-10-30,CUST0017,PROD0022,ST001,EMP016,4,9,eSewa,Completed
TXN004799,2025-02-23,CUST0091,PROD0039,ST002,EMP007,2,2,Card,Completed
TXN000713,2025-07-10,CUST0067,PROD0021,ST004,EMP009,3,6,Bank Transfer,Cancelled
TXN002123,2025-01-12,CUST0078,PROD0011,ST002,EMP017,6,8,Khalti,Completed
TXN001002,2025-04-23,CUST0050,PROD0018,ST001,EMP016,8,,Card,Cancelled
TXN002355,2025-04-28,CUST0084,PROD0047,ST005,EMP020,6,14,eSewa,Completed
TXN004478,2025-12-18,CUST0067,PROD0043,ST003,EMP013,1,23,Card,Completed
TXN003655  ,2025-11-13,CUST0093,PROD0047,ST004,EMP019,2,9,CASH,Completed
TXN004938,2025-08-06,CUST0094,PROD0038,ST004,EMP019,7,27,Khalti,Completed
TXN000004,2025-05-30,CUST0074,PROD0016,ST002,EMP017,-7,18,Khalti,Completed
TXN001035,2025-04-12,CUST0076,PROD0006,ST003,EMP008,8,10,Card,Completed
TXN001975,2025-03-26,CUST0038,PROD0027,ST001,EMP011,6,29,eSewa,Completed
TXN003906,2025-09-14,CUST0084,PROD0052,ST001,EMP011,5,12,Khalti,Completed
TXN004533,2025-09-13,CUST0011,PROD0025,ST004,EMP009,2,28,Bank Transfer,Cancelled
TXN004557,2025-10-29,CUST0039,PROD0028,ST003,EMP003,2,14,eSewa,Completed
TXN000334,2025-10-13,CUST0058,PROD0032,ST004,EMP004,1,6,Card,Completed
TXN000540,2025-11-08,CUST0091,PROD0050,ST002,EMP012,7,11,Khalti,Returned
TXN002993,2025-06-06,CUST0067,PROD0047,ST004,EMP019,3,15,Cash,Completed
TXN000832,2025-06-05,CUST0040,PROD0035,ST005,EMP015,6,16,Khalti,Completed
TXN002453,2025-10-16,CUST0027,PROD0053,ST004,EMP009,7,5,Cash,Cancelled
TXN004877,2025-10-19,CUST0008,PROD0022,ST001,EMP001,8,2,eSewa,Completed
TXN003659,2025-10-09,CUST0073,PROD0007,ST001,EMP001,2,24,Khalti,Completed
TXN000529,2025-07-08,CUST0036,PROD0041,ST003,EMP013,1,15,bAnK TraNSFer,Completed
TXN000575,2025-08-04,CUST0050,PROD0006,ST003,EMP008,4,0,Card,Completed
TXN000462,2025-03-16,CUST0075,PROD0057,ST005,EMP010,3,9,eSewa,Completed
TXN001015,2025-04-20,CUST0036,PROD0021,ST005,EMP015,1,24,Bank Transfer,Completed
TXN001290,2025-04-26,CUST0089,PROD0003,ST005,EMP010,3,19,Bank Transfer,Completed
TXN000543,2025-01-04,CUST0002,PROD0040,ST003,EMP013,7,7,Bank Transfer,Cancelled
TXN004218,2025-10-30,CUST0089,PROD0009,ST001,EMP006,8,8,Bank Transfer,Completed
TXN000247,2025-03-21,CUST0072,PROD0037,ST002,EMP017,2,4,eSewa,Completed
TXN004597,2025-04-15,CUST0051,PROD0002,ST004,EMP004,2,29,Khalti,Returned
TXN003779,2025-10-09,CUST0095,PROD0056,ST003,EMP003,3,15,eSewa,Returned
TXN004936,2025-11-17,CUST0063,PROD0019,ST003,EMP003,2,17,Bank Transfer,Completed
TXN003262,2025-09-19,CUST0020,PROD0021,ST004,EMP019,4,29,Bank Transfer,Cancelled
TXN003177,2025-01-18,CUST0054,PROD0034,ST001,EMP006,8,6,Cash,Returned
TXN003301,2025-02-01,CUST0067,PROD0023,ST005,EMP010,8,17,Cash,ComPLETed
TXN000271,2025-06-21,CUST0006,PROD0050,ST003,EMP013,3,24,Cash,Completed
TXN000394,2025-04-15,CUST0087,PROD0032,ST005,EMP015,4,8,eSewa,Cancelled
TXN004399,2025-08-26,CUST0085,PROD0041,ST003,EMP018,1,22,Khalti,Completed
TXN004732,2025-06-02,CUST0088,PROD0060,ST003,EMP013,1,24,Bank Transfer,Completed
TXN001549,2025-07-26,CUST0085,PROD0023,ST002,EMP017,5,9,Bank Transfer,Completed
TXN002604,2025-04-24,CUST0033,PROD0055,ST003,EMP008,1,22,Cash,Completed
TXN003656,2025-03-24,CUST0062,PROD0041,ST004,EMP009,7,8,Cash,Completed
TXN004255,2025-05-28,CUST0081,PROD0052,ST002,EMP017,1,4,Bank Transfer,Completed
TXN000846,2025-12-04,CUST0038,PROD0001,ST004,EMP004,6,26,Card,Completed
TXN003093,2025-04-19,CUST0087,PROD0014,ST005,EMP010,6,26,Card,Completed
TXN004807,2025-01-06,CUST0044,PROD0051,ST005,EMP005,2,27,bank transfer,Completed
TXN004769,2025-04-05,CUST0058,PROD0022,ST005,EMP020,7,15,Cash,Completed
TXN002475,2025-03-04,CUST0063,PROD0003,ST001,EMP006,7,3,Card,RETURNED
TXN004908,2025-03-10,CUST0055,PROD0020,ST001,EMP006,4,21,ESEWA,Completed
TXN004162,2025-06-25,CUST0021,PROD0005,ST004,EMP004,7,28,Card,Cancelled
TXN000633,2025-12-14,CUST0034,PROD0057,ST001,EMP006,1,18,  Cash ,Completed
TXN004989,2025-01-17,CUST0037,PROD0022,ST003,EMP018,7,3,Card,Returned
TXN004094,2025-03-01,CUST0029,PROD0039,ST001,EMP001,5,18,Khalti,Returned
TXN003407,2025-01-30,CUST0019,PROD0001,ST005,EMP020,6,22,BANK TRANSFER,Completed
TXN000154,2025-02-24,CUST0016,PROD0019,ST005,EMP020,8,8,Bank Transfer,Completed
TXN002293,2025-07-31,CUST0029,PROD0013,ST001,EMP006,6,24,Card,Completed
TXN004151,2025-02-26,CUST0028,PROD0006,ST001,EMP011,6,22,Bank Transfer,Cancelled
TXN003491,2025-03-01,CUST0032,PROD0024,ST002,EMP007,8,14,Khalti,Completed
TXN003313,2025-02-08,CUST0003,PROD0058,ST001,EMP006,8,24,Cash,Cancelled
TXN003431,2025-08-29,CUST0075,PROD0008,ST003,EMP013,4,28,Card,Returned
