product_id,product_name,category,subcategory,brand,unit_price,supplier
PROD0047,Formal Shirt,Clothing,Kids,Zara,21626.53,Zara Distributors Pvt Ltd
PROD0048,Winter Jacket,Clothing,Men,Bata,1846.91,Bata Distributors Pvt Ltd
PROD0049,Kids Hoodie,Clothing,Women,Zara,14846.78,Zara Distributors Pvt Ltd
PROD0050,summer dress,Clothing,Men,Zara,11624.3,Zara Distributors Pvt Ltd
PROD0051,Formal Shirt,Clothing,Men,H&M,15432.96,H&M Distributors Pvt Ltd
PROD0052,Academic Textbook,Books,Non-Fiction,Penguin,11325.88,Penguin Distributors Pvt Ltd
PROD0053,Kids Hoodie,Clothing,Kids,Levis,8139.94,Levis Distributors Pvt Ltd
PROD0054,Cricket Bat,Sports,Fitness,Nike,11345.5,Nike Distributors Pvt Ltd
PROD0055,Formal Shirt,Clothing,Kids,H&M,12688.04,H&M Distributors Pvt Ltd
PROD0056,Sofa Set,Furniture,Living Room,UrbanLadder,24776.0,UrbanLadder Distributors Pvt Ltd
PROD0057,Children Storybook,Books,Academic,HarperCollins,9192.86,HarperCollins Distributors Pvt Ltd
PROD0058,Electric Kettle,Kitchen,Storage,Borosil,17020.61,Borosil Distributors Pvt Ltd
PROD0059,Wireless Mouse,Electronics,Mobile Accessories,JBL,2498.47,JBL Distributors Pvt Ltd
PROD0060,Green Tea Pack,Groceries,Beverages,Nestle,18134.78,Nestle Distributors Pvt Ltd
